Date,Open,High,Low,Close,Volume,MACD,Signal Line,RSI,ATR,OBV,CMF,Buy,Predicted buy
2021-11-16,147.389999,148.589996,147.009995,147.190002,7603900,1.2959375578728611,0.9439550901754972,78.21048474244331,1.6014274285714325,203816400,0.1859650382045119,False,True
2021-11-17,146.970001,147.779999,146.419998,147.100006,4900200,1.3122470197762652,1.0176134760956508,75.28606059094373,1.614999071428575,198916200,0.1725860867188665,True,False
2021-11-18,147.039993,148.080002,146.509995,147.119995,5509300,1.3116652703299394,1.0764238349425086,74.43782221908732,1.622857285714289,204425500,0.2089842153787968,False,False
2021-11-19,147.949997,148.229996,146.789993,146.820007,6274300,1.2723310646915706,1.1156052808923211,74.88106516469455,1.6321433571428596,198151200,0.125887940605052,True,False
2021-11-22,146.970001,148.940002,146.830002,147.800003,6625400,1.3051904868872557,1.153522322091308,73.49256750178237,1.6192856428571445,204776600,0.0808933078707773,True,False
2021-11-23,147.830002,149.5,147.669998,149.440002,7912800,1.4468872138281768,1.2121953004386818,75.49369806093378,1.6364288571428582,212689400,0.105520044850036,False,False
2021-11-24,148.770004,148.880005,147.679993,148.660004,5665200,1.479192362128572,1.26559471277666,68.3114613513234,1.544286428571431,207024200,0.2049056035608643,False,True
2021-11-26,148.580002,149.720001,147.309998,147.470001,6299800,1.392716756242777,1.2910191214698834,57.45574026223199,1.6042872142857172,200724400,0.1346791348004845,True,False
2021-11-29,147.789993,149.660004,146.789993,149.020004,7113300,1.4327407601072937,1.3193634491973656,70.24881723727613,1.660716428571429,207837700,0.1487029188953084,False,True
2021-11-30,147.809998,148.539993,144.119995,144.580002,11696400,1.0935828741309592,1.2742073341840845,47.117445731444505,1.9214313571428587,196141300,0.1008309154528958,True,True
2021-12-01,144.850006,147.869995,144.850006,146.399994,8313500,0.9605829478061024,1.211482456908488,48.54565843657161,2.01928807142857,204454800,0.0622519811723283,True,True
2021-12-02,147.009995,148.460007,146.940002,147.259995,9468800,0.9140379804825898,1.1519935616233083,52.889796268927945,2.11214657142857,213923600,-0.0326558342218177,True,True
2021-12-03,148.020004,150.0,147.660004,149.880005,11200800,1.0761583852236356,1.136826526343374,59.57328056890547,2.2292893571428545,225124400,-0.0029456201295332,True,True
2021-12-06,150.190002,152.389999,150.190002,152.149994,11935100,1.3719936267133337,1.1838599464173658,62.65319826501482,2.3171461428571383,237059500,0.0376055080968194,False,False
2021-12-07,151.949997,152.580002,151.270004,151.75,7913400,1.5562297660376032,1.2583339103414133,62.02533655134301,2.2978602142857096,229146100,0.0268302570331291,True,True
2021-12-08,151.669998,152.660004,150.279999,152.429993,8329300,1.7370839633311448,1.3540839209393598,63.63171028969529,2.3707176428571364,237475400,0.0615327560530379,True,True
2021-12-09,152.309998,154.190002,151.600006,153.320007,8334300,1.9299812864148864,1.4692633940344653,65.18123767200194,2.443573999999992,245809700,0.0583272723339127,True,True
2021-12-10,153.850006,155.800003,153.429993,155.460007,7172300,2.229829829726498,1.621376681172872,69.40701331725427,2.517859214285707,252982000,0.1038313626025645,True,True
2021-12-13,155.300003,158.330002,154.910004,157.669998,8944000,2.61563831431846,1.8202290078019896,71.00893916978848,2.6107165714285663,261926000,0.1347367275908482,True,True
2021-12-14,157.899994,158.630005,156.660004,158.25,8677500,2.93437004082989,2.04305721440757,69.63887905087086,2.6207164999999963,270603500,0.1497863973416094,True,True
2021-12-15,157.639999,159.639999,157.639999,158.860001,9152600,3.199309563984656,2.274307684322987,72.91104962063118,2.6378587142857106,279756100,0.1971909825898165,True,True
2021-12-16,158.729996,161.320007,158.419998,161.110001,10852900,3.5499110756987022,2.52942836259813,79.24529305155856,2.672859142857141,290609000,0.2456236214466209,False,True
2021-12-17,160.660004,161.720001,157.309998,157.460007,24349400,3.492976430167573,2.722137976112019,66.60111849799426,2.7828585714285703,266259600,0.105516804821888,True,False
2021-12-20,156.600006,158.460007,156.570007,157.860001,9202600,3.440471868225302,2.8658047545346754,81.05709665235807,2.5678579285714256,275462200,0.1534308151976134,False,True
2021-12-21,157.649994,158.149994,156.789993,157.759995,6946000,3.352150472193898,2.96307389806652,78.89116825039928,2.4300013571428543,268516200,0.1716220841993201,True,True
2021-12-22,157.770004,159.580002,157.270004,159.320007,6626300,3.369197053967639,3.044298529246744,79.61692534381133,2.4478574285714267,275142500,0.1607903543122112,True,True
2021-12-23,159.5,160.919998,159.440002,160.100006,5640900,3.4063793724061213,3.1167146978786198,77.59181174459654,2.3664278571428548,280783400,0.1385027160444257,True,True
2021-12-27,160.669998,161.990005,160.610001,161.970001,4548600,3.5458650706424635,3.2025447724313887,77.0971570356393,2.322142499999998,285332000,0.1928031263156766,True,True
2021-12-28,161.960007,163.380005,161.940002,162.839996,5929400,3.684141329139408,3.298864083772993,79.82786010282082,2.3314285714285705,291261400,0.1807627667881381,True,True
2021-12-29,163.210007,164.979996,163.080002,164.190002,5346100,3.858185698854811,3.4107284067893566,80.52960411389206,2.3142853571428565,296607500,0.2439888966435223,False,True
2021-12-30,164.399994,164.589996,162.610001,162.770004,5911500,3.837301125852832,3.496042950602052,73.87569566093322,2.270713857142858,290696000,0.2179793331329483,True,True
2021-12-31,162.860001,163.729996,162.460007,163.580002,5327000,3.841823866368628,3.565199133755367,71.9934966382161,2.184284785714287,296023000,0.2786359244611446,False,True
2022-01-03,161.690002,162.940002,159.880005,162.899994,9317300,3.747340203053483,3.6016273476149907,65.44593481586062,2.2042847142857136,286705700,0.2759749896272401,True,True
2022-01-04,162.289993,164.389999,162.179993,163.470001,9253800,3.6760804531278666,3.6165179687175657,65.4255230182151,2.221427928571426,295959500,0.2340037552522106,True,True
2022-01-05,163.440002,165.320007,163.399994,164.210007,9330200,3.63738932765196,3.620692240504445,65.68915059209897,2.215714571428569,305289700,0.2359246464362622,False,True
2022-01-06,164.339996,165.199997,162.610001,162.830002,7556000,3.455538168630625,3.587661426129681,55.31519949013668,2.193570785714282,297733700,0.1598685520188749,False,True
2022-01-07,163.130005,163.529999,161.949997,162.740005,6098500,3.266503589128092,3.5234298587293638,70.9191248892831,1.9914278571428543,291635200,0.1455606396743903,False,False
2022-01-10,162.509995,163.119995,160.169998,160.520004,8055000,2.904080364855446,3.39955995995458,59.21051565463871,2.0671419285714268,283580200,0.0774044571793886,False,True
2022-01-11,160.220001,160.220001,156.910004,158.660004,11957900,2.4386595439596874,3.207379876755601,52.77780092588728,2.227856142857143,271622300,0.0477784318113009,True,True
2022-01-12,158.259995,159.360001,157.830002,159.009995,7127500,2.0741421196799763,2.9807323253404765,48.96593770542853,2.1721419285714285,278749800,0.0395351162318382,False,False
2022-01-13,159.309998,159.449997,157.779999,158.289993,6551000,1.7074785408889852,2.7260815684501782,43.93833922002326,2.177142428571429,272198800,0.0126525458671808,True,False
2022-01-14,158.070007,160.490005,157.559998,159.809998,10708000,1.5220020214271983,2.485265659045582,42.59259195752768,2.251428714285715,282906800,-0.0087099147408946,False,False
2022-01-18,158.529999,158.529999,156.039993,156.729996,10988400,1.1136427424024475,2.2109410757169554,31.80467379859921,2.4178574285714274,271918400,0.1072712115530351,True,True
2022-01-19,157.610001,164.190002,156.970001,162.0,14088300,1.2014112304325977,2.009035106660084,44.71270047779764,2.7978578571428563,286006700,0.1178106553067821,False,True
2022-01-20,160.119995,164.330002,160.119995,162.0,10799100,1.256484419283197,1.8585249691847068,48.00413954859367,2.957144428571429,275207600,0.0894507652407387,True,True
2022-01-21,163.0,165.350006,162.100006,162.619995,10900400,1.3347723089036378,1.7537744371284931,47.48689569640828,3.105717071428572,286108000,0.0112970016464153,False,True
2022-01-24,163.429993,164.119995,158.720001,161.300003,14838100,1.2755993869948554,1.6581394271017658,45.94733932971759,3.2271454285714287,271269900,0.0104176546572616,False,True
2022-01-25,160.449997,161.300003,157.889999,159.539993,9369600,1.074302432371212,1.541372028155655,40.61154772501305,3.312859571428573,261900300,-0.0161588871690335,False,True
2022-01-26,157.339996,159.570007,156.380005,158.149994,10707100,0.7934652692629811,1.3917906763771204,35.959193332827624,3.403573071428572,251193200,-0.0174095137497553,True,True
2022-01-27,158.729996,161.350006,158.580002,159.130005,9083000,0.6425713292862838,1.241946806958953,41.26535545853642,3.447145642857145,260276200,-0.0509864311064359,True,True
2022-01-28,158.610001,160.949997,157.320007,160.5,9494200,0.6263141816774009,1.1188202819026425,45.0133475025186,3.5935733571428585,269770400,0.0131169596721088,False,True
2022-01-31,159.350006,160.649994,158.869995,160.449997,8950100,0.6024507733606868,1.0155463801942517,49.82748405877986,3.5100020714285733,260820300,0.0275792385008166,False,False
2022-02-01,160.789993,161.300003,157.729996,159.740005,6284100,0.5202512964930293,0.9164873634540072,52.82131907934595,3.50714542857143,254536200,-0.015086859655443,True,False
2022-02-02,160.139999,162.839996,159.470001,162.600006,7558800,0.6780694351695047,0.8688037777971067,58.29101426322602,3.638573714285717,262095000,0.0106808033083824,True,False
2022-02-03,161.979996,164.979996,161.619995,164.139999,10474500,0.9168372824496772,0.8784104787276209,63.01736866779091,3.759288214285718,272569500,0.0455617098209812,False,True
2022-02-04,163.130005,164.490005,161.410004,161.529999,8959900,0.8852526923421351,0.8797789214505237,53.65025725597503,3.770002071428576,263609600,0.0349221184328401,False,False
2022-02-07,161.869995,162.259995,159.669998,160.320007,6430500,0.7538950027440023,0.8546021377092194,58.27573340638703,3.685715785714292,257179100,0.0182950534127979,False,True
2022-02-08,161.119995,161.270004,159.649994,159.960007,5048700,0.6136700892099327,0.8064157280093621,43.92134962234464,3.268573214285721,252130400,0.034489937566989,False,True
2022-02-09,160.360001,160.639999,159.270004,159.600006,8077400,0.4680958453959363,0.738751751486677,42.99884410627222,3.06571521428572,244053000,0.0090733345874193,False,False
2022-02-10,159.089996,159.5,156.649994,157.169998,7033000,0.1548607330584843,0.6219735478010385,35.620058409507934,3.03714421428572,237020000,-0.03564066464214,False,False
2022-02-11,158.009995,158.580002,155.580002,156.289993,9341400,-0.1625160157307448,0.4650756350946818,36.46675501525932,2.865716071428577,227678600,-0.0476457427049809,True,False
2022-02-14,156.139999,157.059998,153.360001,156.740005,9472200,-0.3734225851156907,0.2973759910526073,41.860505678716926,2.8864298571428617,237150800,-0.0368036042211058,True,False
2022-02-15,157.770004,159.320007,156.110001,156.820007,6659200,-0.5280253208433408,0.1322957286734177,45.81502283037496,2.887858714285719,243810000,-0.0312158864026715,True,False
2022-02-16,156.830002,158.779999,156.270004,158.009995,9315700,-0.5482076201074904,-0.0038049410827638,46.521706346189454,2.8385717857142896,253125700,-0.0429083775068596,True,True
2022-02-17,158.380005,160.380005,157.350006,159.820007,7925500,-0.4133841608972659,-0.0857207850456642,47.944399546578246,2.7957152857142904,261051200,-0.0086494971550894,True,True
2022-02-18,159.5,161.059998,158.820007,159.899994,8063200,-0.2966615856084047,-0.1279089451582123,48.34036441656914,2.8285718571428617,269114400,0.0323692071333871,False,True
2022-02-22,160.110001,160.880005,156.660004,157.929993,8179500,-0.3589825925973855,-0.174123674646047,44.92425183126731,2.875000000000006,260934900,0.0180605246855875,False,True
2022-02-23,158.300003,158.600006,155.600006,155.960007,6273000,-0.5608685030007337,-0.2514726403169843,30.40140467640253,2.8485717857142907,254661900,-0.0089353354244149,False,True
2022-02-24,155.639999,155.979996,150.559998,151.759995,13145100,-1.0476932532825458,-0.4107167629100967,18.418366810704,2.995714428571432,241516800,-0.0600745620933992,True,True
2022-02-25,152.330002,158.940002,152.25,158.240005,8888800,-0.9002452570271942,-0.5086224617335162,42.99106996774094,3.288572000000002,250405600,0.0153778772555348,False,False
2022-02-28,156.289993,157.190002,153.820007,155.889999,8669200,-0.961928983527656,-0.5992837660923442,40.99958837920957,3.419286357142858,241736400,-0.0158623275538892,False,True
2022-03-01,154.309998,155.399994,152.339996,153.309998,8311900,-1.205106581400969,-0.7204483291540692,37.60715371517834,3.5571429999999986,233424500,-0.0767431165553605,True,False
