Date,Open,High,Low,Close,Volume,MACD,Signal Line,RSI,ATR,OBV,CMF,Buy
2021-03-10,67.357498,87.125,43.0,66.25,286282400,9.162032197342068,4.413593242232757,95.77941657834742,11.56517814285714,5811645600,-0.06815775133133019,False
2021-03-11,60.41,70.375,58.150002,65.0,113250000,10.517394309308415,5.634353455647888,93.90131376837401,12.342142285714285,5698395600,-0.045193418810742056,True
2021-03-12,68.75,73.875,65.567497,66.125,103383600,11.549174946213,6.817317753760911,93.87902360806339,12.834642285714283,5801779200,-0.06883015597197104,False
2021-03-15,69.379997,70.75,51.5,55.035,96401600,11.34126319511303,7.722106842031335,79.96305128319653,14.098392285714286,5705377600,-0.09016350768120229,False
2021-03-16,50.790001,55.174999,43.087502,52.0425,141691600,10.810406259691547,8.339766725563377,72.61007858289486,14.122320642857144,5563686000,-0.059778904253639464,True
2021-03-17,54.459999,57.8675,51.0,52.452499,65926400,10.304003666302158,8.732614113711135,70.8704965024613,12.952677928571429,5629612400,-0.06408399503295416,False
2021-03-18,53.5,54.720001,48.912498,50.4375,47059600,9.629084293517863,8.911908149672481,70.55873158012962,12.351428285714286,5582552800,-0.043624276378004354,False
2021-03-19,48.932499,56.75,45.665001,50.067501,98709200,8.961052565057024,8.921737032749391,67.66644729925842,12.535713857142857,5483843600,-0.04515653929745715,False
2021-03-22,51.314999,52.59,46.549999,48.622501,40246000,8.220274970792175,8.781444620357949,66.6173093480585,12.5921425,5443597600,-0.053455365066556564,False
2021-03-23,49.375,50.4375,44.387501,45.4375,57716400,7.292141163652573,8.483583929016874,62.178972275996514,12.763035357142858,5385881200,-0.06927413169785833,False
2021-03-24,39.494999,41.7425,29.655001,30.084999,96711600,5.25716854365826,7.838300851945151,47.9263765154754,13.308749714285716,5289169600,-0.20664752164886158,True
2021-03-25,30.872499,46.875,29.225,45.9375,203849200,4.867492997581145,7.24413928107235,56.618048463715645,14.140356857142857,5493018800,0.004493900672297166,False
2021-03-26,49.419998,54.732498,40.814999,45.25,149722800,4.451878333303277,6.685687091518536,47.700953678474114,13.828571214285716,5343296000,0.047746363285829194,True
2021-03-29,45.1875,48.48,43.377499,45.325001,40168800,4.081503638119159,6.164850400838661,36.4182226210407,13.20464257142857,5383464800,0.030388733173332842,True
2021-03-30,46.875,51.075001,45.5,48.615002,68379600,4.007261393879531,5.733332599446836,35.090465502520615,10.463571142857145,5451844400,0.05941662974231405,False
2021-03-31,49.375,49.865002,46.7775,47.455002,33575200,3.8108919843598272,5.348844476429434,35.143948005285424,9.810892857142857,5418269200,0.03526319642433689,True
2021-04-01,48.34,49.2425,45.900002,47.862499,37337200,3.6461192220938514,5.008299425562318,34.34620382027521,9.415714142857142,5455606400,0.03691739599998844,False
2021-04-05,42.75,48.75,41.202499,46.737499,56282000,3.3857289471322574,4.683785329876306,41.42244154488947,8.579821357142857,5399324400,0.05875331371171047,False
2021-04-06,46.302502,48.0,45.889999,46.125,24873200,3.0942753476936105,4.3658833334397675,43.56618618390589,7.867143071428571,5374451200,-0.009857446223400042,False
2021-04-07,45.805,46.125,44.0275,44.4925,19073200,2.7004381931739445,4.032794305386603,41.569583596051324,7.526428785714286,5355378000,-0.09187648029648456,False
2021-04-08,46.470001,46.470001,41.075001,42.564999,40189600,2.2073413320183732,3.6677037107129573,41.646770828229165,7.496964285714284,5315188400,-0.1283755155411227,False
2021-04-09,42.424999,42.895,38.25,39.59,37849600,1.558535137870635,3.245869996144493,39.46508391805169,7.036964357142856,5277338800,-0.15534702755341917,False
2021-04-12,39.5275,40.974998,33.752499,35.272499,66734400,0.6880340782065062,2.7343028125568956,37.30988451293215,7.1214284999999995,5210604400,-0.12359370099907563,False
2021-04-13,35.470001,36.345001,33.0,35.247501,27227600,-0.003817408176573167,2.186678768410202,39.69458009090978,6.928214357142855,5183376800,-0.07792300277614324,True
2021-04-14,35.892502,43.522499,35.75,41.6325,84552400,-0.03647814071970856,1.7420473865842196,64.26586182710693,6.391964285714285,5267929200,-0.1005067474944232,False
2021-04-15,40.75,41.5625,38.200001,39.110001,31427200,-0.2628763198834818,1.3410626452906795,37.42286035237364,5.3764284999999985,5236502000,-0.08453214845207556,False
2021-04-16,39.0,40.049999,37.8125,38.672501,20858800,-0.4721583540444598,0.9784184454236518,37.77075351320135,4.542142785714285,5215643200,-0.07214382878043556,True
2021-04-19,42.950001,43.799999,40.5825,41.092499,42080800,-0.4376967642384457,0.6951954034912322,42.76185864368941,4.543928285714285,5257724000,-0.08276691012495195,False
2021-04-20,41.035,41.2225,38.34,39.6325,18634400,-0.522176102547256,0.45172110228353457,33.61305249039587,4.339106857142856,5239089600,-0.07506338023730144,False
2021-04-21,39.599998,40.744999,38.98,39.627499,15251200,-0.5828118336718617,0.24481451509245533,35.09188518529537,4.244642357142857,5223838400,-0.04776307135608667,False
2021-04-22,39.775002,39.775002,36.715,37.7925,17383200,-0.7700584169327769,0.041839928687408906,31.809968304544,4.224464071428572,5206455200,0.03036787560586797,True
2021-04-23,37.25,38.415001,36.174999,37.794998,16116400,-0.9077867153060453,-0.14808540011128196,33.16388208509606,3.845357,5222571600,-0.16934249868049173,True
2021-04-26,37.744999,43.669998,37.189999,42.232498,42128400,-0.6513597500394539,-0.24874027009691638,43.59416929987178,4.157499714285715,5264700000,-0.08892718606598232,True
2021-04-27,45.887501,47.0,43.2925,44.442501,35730800,-0.26673599377600254,-0.25233941483273364,49.91925224794126,4.3482141428571435,5300430800,-0.09498067762826232,True
2021-04-28,43.025002,45.494999,41.5075,44.645,23155600,0.053800897812472215,-0.19111135230369247,53.557382414970995,4.247678357142857,5323586400,-0.09359848371454194,False
2021-04-29,44.139999,45.215,42.6875,44.047501,15041200,0.25665693654631383,-0.10155769453369123,58.29843090715873,4.096428357142857,5308545200,-0.06643636298957793,False
2021-04-30,43.75,45.950001,43.174999,43.397499,17734400,0.3608128536563555,-0.009083584895681882,67.51833139758466,3.77875,5290810800,-0.10123436728349497,False
2021-05-03,44.372501,44.372501,39.9025,40.549999,21044000,0.21115366787469014,0.03496386565839253,60.19221300408849,3.8591071428571424,5269766800,-0.17380455464861258,False
2021-05-04,39.75,40.372501,37.950001,40.182499,16030000,0.062176771118409135,0.040406446750395855,46.37409047873326,3.4537499999999994,5253736800,-0.1223264970068063,False
2021-05-05,40.4575,41.375,39.5825,39.869999,11221600,-0.08018036190852484,0.016289085018611715,52.13662661080986,3.3366072142857135,5242515200,-0.11893865023470927,True
2021-05-06,40.215,41.18,38.900002,40.252499,11771200,-0.16028717140930837,-0.019026166266972303,54.45571962275463,3.3396428571428562,5254286400,-0.08955878093284385,True
2021-05-07,40.0275,41.852501,39.375,40.2775,11738400,-0.2192279005462794,-0.059066513122833716,47.342683577262264,3.150357357142856,5266024800,-0.07034709694274117,False
2021-05-10,40.327499,40.397499,35.75,35.805,19226800,-0.6196888376131753,-0.17119097802090205,39.56942476419952,3.276428714285714,5246798000,-0.03717456346899387,True
2021-05-11,34.25,37.625,34.125,36.73,18738400,-0.8525891291885159,-0.30747060825442485,42.480864539724166,3.4003573571428563,5265536400,-0.03823873404227794,False
2021-05-12,36.424999,37.625,35.557499,36.197498,10926000,-1.0678235441926915,-0.45954119544207817,45.560808113374215,3.329464428571428,5254610400,-0.15934493009522005,True
2021-05-13,36.860001,42.487499,36.607498,41.125,35494000,-0.8312084842194096,-0.5338746531975445,57.27392056831086,3.618750071428571,5290104400,-0.0781905307926056,False
2021-05-14,40.0,41.6175,39.055,39.98,17174000,-0.7276928847050783,-0.5726382994990512,44.253100955488826,3.338928714285714,5272930400,-0.07876425688813585,True
2021-05-17,39.962502,45.625,39.75,45.150002,29848400,-0.2258763109009223,-0.5032859017794254,51.56821629269582,3.418035714285714,5302778800,0.05180060703306262,True
2021-05-18,43.634998,47.299999,42.067501,45.1675,30954800,0.17125476328639877,-0.36837776876626066,51.167727924623186,3.5069642142857136,5333733600,0.06861964772950632,False
2021-05-19,42.997501,44.744999,41.037498,42.2075,19303600,0.24432036541850266,-0.245838141929308,46.280573116474166,3.621428642857142,5314430000,0.060689036849943805,True
2021-05-20,42.697498,43.727501,41.724998,42.622501,9912800,0.33188671050298524,-0.13029317144284935,48.41837181590894,3.566250142857142,5324342800,0.0717401817989892,True
2021-05-21,42.75,44.810001,42.5825,44.197498,14618800,0.5223514229138715,0.00023574742849480357,57.851681259066034,3.40607157142857,5338961600,0.07050630144843631,True
2021-05-24,43.962502,47.115002,43.337502,45.002499,18657200,0.7298397939148344,0.14615655672576275,60.18381404034414,3.4901788571428556,5357618800,0.00872110771854029,True
2021-05-25,45.25,54.2775,45.25,52.357498,59550000,1.470808212289782,0.4110868878385667,70.33297692749554,4.024643214285713,5417168800,0.12415804304009866,True
2021-05-26,57.25,62.119999,56.387501,60.639999,84479600,2.695290007742635,0.8679275118193803,76.40354579772887,4.559107714285713,5501648400,0.16631678697309066,True
2021-05-27,57.450001,66.0,56.75,63.532501,62105200,3.8546671864279958,1.4652754467411033,78.03495864557462,5.042857642857142,5563753600,0.20473563780191567,False
2021-05-28,65.7425,67.199997,55.357498,55.5,47005600,4.078313988116783,1.9878831550162392,71.86632327749663,5.556786214285714,5516748000,0.13748085924060333,True
2021-06-01,58.369999,63.744999,56.767502,62.255001,38502400,4.745919807239147,2.5394904854608207,75.09092449353247,5.895714714285714,5555250400,0.19848601789916606,True
2021-06-02,62.220001,73.5,61.075001,70.559998,64076800,5.877395126412061,3.207071413651069,79.30078774501683,6.635535999999999,5619327200,0.21587741896291238,False
2021-06-03,66.427498,68.607498,60.529999,64.544998,32000000,6.217070716916062,3.8090712743040678,69.6065282544998,6.902678714285713,5587327200,0.22051229062919342,False
2021-06-04,64.004997,66.25,61.442501,62.09,14550000,6.216508211277706,4.290558661698795,68.11255896166328,7.063035785714284,5572777200,0.19947867547248266,True
2021-06-07,64.5,70.5,63.799999,70.002502,24206000,6.776420844053604,4.787731098169758,69.4837527179257,7.244107214285713,5596983200,0.2321971434280403,True
2021-06-08,73.0,86.165001,70.25,75.0,69756400,7.536535472649497,5.337491973065706,71.69399764953636,8.02482157142857,5666739600,0.2021648953693431,True
2021-06-09,75.779999,82.0,72.877502,75.639999,53717200,8.097234483969352,5.8894404752464355,75.160865858628,8.381428428571427,5720456800,0.15139370041140476,False
2021-06-10,70.5,72.0,52.75,55.0975,91920800,6.805534535755918,6.0726592873483325,57.20556790882966,9.873392428571426,5628536000,0.05650629658261361,True
2021-06-11,55.587502,60.282501,51.532501,58.334999,62323200,5.9742249861783705,6.052972427114341,58.01195856207958,10.339285214285713,5690859200,0.07310414576294566,False
2021-06-14,59.125,59.502499,54.799999,57.360001,28530400,5.177054131253755,5.877788767942224,56.98973547824783,10.405356642857141,5662328800,0.08067177523158385,False
2021-06-15,56.59,57.3125,52.0,55.625,29207600,4.355087665073469,5.573248547368474,51.97366564458534,10.125713785714284,5633121200,0.06393299327017274,True
2021-06-16,53.810001,57.182499,52.25,55.7425,22259200,3.6708394347034528,5.19276672483547,46.71804367351607,9.78071364285714,5655380400,0.06876925358592988,True
2021-06-17,56.0,58.415001,55.369999,55.897499,18434400,3.1052791808841675,4.77526921604521,44.68869366969808,9.337499499999998,5673814800,0.06301430443431533,False
2021-06-18,55.044998,55.872501,53.25,53.455002,17281200,2.431945555460132,4.3066044839281945,48.457419951558265,8.680713785714284,5656533600,0.04658568230185156,False
2021-06-21,54.237499,54.599998,49.25,50.092499,20480800,1.6084566289260849,3.7669749129277728,40.330719931743836,8.473927999999999,5636052800,0.022276519846268064,True
2021-06-22,54.432499,56.470001,52.2925,55.099998,32800800,1.3444016166395585,3.28246025367013,37.029111439431034,8.041963928571429,5668853600,0.03737300664208584,False
2021-06-23,55.362499,55.642502,53.529999,54.834999,14220400,1.101060571496113,2.846180317235327,40.98337763674248,7.476428499999999,5654633200,0.0021298273663732654,False
2021-06-24,55.290001,56.862499,52.900002,53.077499,15453200,0.7576616264806333,2.428476579084388,41.521236006371936,7.416071214285714,5639180000,-0.07006003988504292,False
2021-06-25,53.5,53.549999,49.625,52.377499,50770800,0.4241420926197179,2.027609681791454,30.8152754400235,7.095714,5588409200,-0.0825385800805974,True
2021-06-28,52.8125,56.112499,52.549999,53.3125,19517600,0.23259106076150715,1.6686059575854646,24.102927807452815,6.2080355,5607926800,-0.03747964673265525,False
2021-06-29,53.397499,53.805,52.002499,52.720001,9920000,0.032599978128878604,1.3414047616941476,22.600118005994233,5.685178571428572,5598006800,-0.07385703746014728,True
2021-06-30,52.422501,53.82,51.735001,53.535,10158400,-0.05944553650498108,1.061234702054322,46.464531226934604,4.199107142857144,5608165200,-0.12147065222353827,False
2021-07-01,53.349998,54.2075,50.5,51.09,10968400,-0.3259262612294691,0.7838025093975639,32.99694742946431,3.838928571428572,5597196800,-0.13743879106878695,False
2021-07-02,51.200001,51.362499,49.125,50.7075,10396400,-0.5615060169397665,0.5147408041300978,33.94085223041917,3.662857071428572,5586800400,-0.11397182062584615,False
2021-07-06,51.0,51.192501,48.427502,49.889999,11072400,-0.804891876633711,0.2508142679773361,35.514013970297654,3.477499785714287,5575728000,-0.1497992213341922,False
2021-07-07,49.0,49.375,44.389999,47.665001,16958000,-1.163898964694397,-0.032128378557010534,31.56032223726109,3.5180355714285727,5558770000,-0.1030707821447756,True
2021-07-08,44.9575,48.555,44.875,47.845001,11430000,-1.4175495440616572,-0.3092126116579399,31.638354876452837,3.563392571428573,5570200000,-0.05576983557245218,False
2021-07-09,47.720001,48.695,46.6875,47.807499,6331600,-1.6031158322375845,-0.5679932557738688,35.5359131496523,3.5176783571428585,5563868400,0.10064439810435234,False
2021-07-12,47.855,49.4375,46.855,47.3125,6545200,-1.769720498674701,-0.8083387043540353,41.654159409335236,3.31999992857143,5557323200,0.00913759406581593,False
2021-07-13,46.919998,47.197498,44.75,45.014999,9591600,-2.063359898320023,-1.0593429431472328,13.840087044825182,3.0474997857142867,5547731600,-0.019584330977647314,False
2021-07-14,45.122501,45.595001,41.267502,41.904999,15655200,-2.517996352192341,-1.3510736249562547,11.494937462775454,3.205713785714287,5532076400,-0.08608141148311259,False
2021-07-15,40.0,42.997501,39.502499,41.705002,17194400,-2.8614520656000835,-1.6531493130850206,12.670279862848474,3.1723212857142866,5514882000,-0.1021385691647379,True
2021-07-16,42.537498,44.8675,41.575001,42.259998,13151600,-3.053658974217548,-1.933251245311526,16.47056936497006,3.127142714285715,5528033600,-0.0901704153681202,True
2021-07-19,40.825001,44.0,40.305,43.372501,9747600,-3.080702222003687,-2.1627414406499583,17.44185307627025,3.1242855714285724,5537781200,-0.02506381026709722,True
2021-07-20,43.474998,48.41,43.105,47.794998,12404400,-2.7139904506452055,-2.2729912426490078,37.10394133163598,3.3744640714285725,5550185600,0.05169318261184608,False
2021-07-21,46.947498,48.877499,45.5275,46.452499,8916800,-2.5028459294880463,-2.3189621800168156,31.953106060478675,3.4648212142857147,5541268800,0.0016052776022602003,False
2021-07-22,46.325001,46.922501,44.037498,44.712502,5652000,-2.4477000291000905,-2.344709749833471,33.143910740801246,3.406071428571429,5535616800,-0.02172636246357181,True
2021-07-23,45.25,45.400002,43.459999,45.09,5264800,-2.3464867335927124,-2.3450651465853194,35.14870174669775,3.384821714285714,5540881600,0.044888688461298,True
2021-07-26,45.09,46.509998,44.689999,45.985001,5042400,-2.1690518868722037,-2.3098624946426964,39.71827154393145,3.3173217142857143,5545924000,-0.03037867420111418,False
2021-07-27,45.75,46.25,44.165001,44.634998,4859200,-2.113009988309166,-2.2704919933759906,41.63675359962879,3.0733930714285718,5541064800,0.009613740408602894,False
2021-07-28,43.93,44.279999,41.067501,42.279999,16403200,-2.2328858001095213,-2.262970754722697,36.28633761905868,3.065357142857143,5524661600,-0.00030642934265807584,False
2021-07-29,42.650002,43.4725,41.127499,41.215,8960000,-2.3863167888407446,-2.2876399615463066,34.537346307531806,3.0894643571428575,5515701600,-0.07618805367063188,False
2021-07-30,41.25,41.805,39.717499,40.279999,9508400,-2.553918733985256,-2.3408957160340966,33.838897141219064,3.0541072857142857,5506193200,-0.06164728524899197,False
2021-08-02,40.5,40.897499,38.764999,39.412498,10131600,-2.7253286712468068,-2.4177823070766387,36.21939864590272,3.023393,5496061600,-0.10219455625032829,False
2021-08-03,39.185001,39.7225,37.049999,38.1875,57802400,-2.9262869677195553,-2.519483239205222,39.92137395337473,2.905178857142857,5438259200,-0.11993447957446836,False
2021-08-04,38.182499,39.447498,36.422501,36.700001,9574000,-3.169045815751261,-2.6493957545144298,37.31626132013947,2.8716070714285715,5428685200,-0.17738250273777006,True
2021-08-05,37.0,39.400002,36.305,38.360001,9648400,-3.1907053597561372,-2.757657675562771,40.64075369348539,2.8575001428571434,5438333600,-0.19459219319496804,False
2021-08-06,38.647499,39.125,37.577499,37.942501,5410800,-3.204618616628842,-2.8470498637759856,36.51935909408503,2.704107357142857,5432922800,-0.21020872981330346,True
2021-08-09,37.950001,41.177502,37.665001,40.282501,8996800,-2.9923327795162464,-2.876106446924038,29.198396566079623,2.5760717142857144,5441919600,-0.1726814781693007,False
2021-08-10,40.34,41.724998,38.837502,39.762501,6493200,-2.833392789989091,-2.8675637155370484,30.591820270802486,2.543035785714286,5435426400,-0.1533868447618597,False
2021-08-11,39.607498,39.762501,38.654999,39.695,3781600,-2.681962475801278,-2.8304434675898946,33.87951164658634,2.416071428571429,5431644800,-0.09860414951108336,True
2021-08-12,39.970001,41.07,39.3325,40.587502,5271200,-2.4615600760723524,-2.7566667892863865,35.99752175462061,2.401606928571429,5436916000,-0.11385167155005875,True
2021-08-13,40.1175,40.887501,39.352501,40.630001,4059200,-2.257437932967669,-2.6568210180226433,32.41379541362295,2.381249857142858,5440975200,-0.06892548498022288,True
2021-08-16,40.25,42.470001,39.790001,40.982498,6290400,-2.043667969760662,-2.534190408370247,37.163939459199284,2.4237499285714295,5447265600,-0.10495785461659372,False
2021-08-17,40.297501,42.369999,40.275002,40.887501,4863600,-1.8604728251425158,-2.399446891724701,44.18216545585903,2.318571357142858,5442402000,-0.16761739127299585,False
2021-08-18,40.8125,41.400002,39.1875,39.262501,5647200,-1.8253715257961858,-2.284631818538998,42.20714516349836,2.309107142857144,5436754800,-0.17701412482491954,False
2021-08-19,39.192501,39.497501,37.695,38.224998,4786000,-1.8598323251596582,-2.19967191986313,41.8646021847828,2.2887500000000007,5431968800,-0.17243717405761924,True
2021-08-20,38.450001,40.022499,38.310001,39.825001,4619600,-1.7380012896163919,-2.1073377938137825,51.54350993777437,2.264821500000001,5436588400,-0.17316273779008556,True
2021-08-23,40.595001,41.822498,39.887501,41.2225,5372000,-1.5112619393803115,-1.9881226229270885,61.2116734392316,2.21660692857143,5441960400,-0.1733483716979809,True
2021-08-24,41.572498,56.25,41.287498,52.572498,58608800,-0.4109818451568259,-1.6726944673730362,83.91921717787017,3.073928571428573,5500569200,-0.0036489570873043794,False
2021-08-25,51.662498,56.75,48.25,49.912498,51444400,0.24355078530495433,-1.289445416837438,73.67557633673844,3.4599998571428583,5449124800,-0.10025268154314795,True
